Kemper (France);tgn,7008262;is:pleiades:138529
Ratiatum (France);tgn,1112132;is:pleiades:138533
Royat (France);tgn,4009490;is:pleiades:138544
Salles-la-Source (France);tgn,7008431;is:pleiades:138567
Suevres (France);tgn,7008328;is:pleiades:138602
Thouars (France);tgn,1035873;is:pleiades:138617
Tonneins (France);tgn,1035884;is:pleiades:138620
Toulon (France);tgn,7008794;is:pleiades:138622,is:pleiades:157936
Ussel (France);tgn,7009514;is:pleiades:138634
Vierzon (France);tgn,1036106;is:pleiades:138654
Villeneuve (Italy);tgn,7005201;is:pleiades:138657
Villeneuve (Switzerland);tgn,7007493;is:pleiades:138657
Vivonne (France);tgn,1036230;is:pleiades:138663
Arica (Chile);tgn,7017072;is:pleiades:141944
Arica (Colombia);tgn,1023709;is:pleiades:141944
Alais (France);tgn,7008622;is:pleiades:147988
Auxon (France);tgn,1031937;is:pleiades:147988
Ales (Italy);tgn,1043167;is:pleiades:147988
Banon (France);tgn,1032003;is:pleiades:148008
Beaumont (France);tgn,7008826;is:pleiades:148017,is:pleiades:108795
Beaumont (Belgium);tgn,1026315;is:pleiades:148017,is:pleiades:108795
Beaumont-sur-Oise (France);tgn,1032064;is:pleiades:148017,is:pleiades:108795
Beaumont (New Zealand);tgn,1098869;is:pleiades:148017,is:pleiades:108795
Clermont (France);tgn,7008202;is:pleiades:148049
Clermont (France);tgn,1032695;is:pleiades:148049
Clermont (Queensland, Australia);tgn,1096562;is:pleiades:148049
La Couronne (France);tgn,1033631;is:pleiades:148062
Cucuron (France);tgn,7009069;is:pleiades:148064
Vaucluse (France);tgn,7008006;is:pleiades:148079
Vaucluse (New South Wales, Australia);tgn,1098409;is:pleiades:148079
Fontaine de Vaucluse (France);tgn,1100943;is:pleiades:148079
Glanum (France);tgn,7017179;is:pleiades:148093
Laval (France);tgn,7008490;is:pleiades:148108
Ledignan (France);tgn,1033576;is:pleiades:148109
Marseilles (France);tgn,7008781;is:pleiades:148127
Nimes (France);tgn,7008371;is:pleiades:148142
Nismes (Belgium);tgn,1026641;is:pleiades:148142
Puyloubier (France);tgn,1035009;is:pleiades:148163
Roujan (France);tgn,4009476;is:pleiades:148175
Vasio (France);tgn,7017275;is:pleiades:148228
Mansa (Gujarat, India);tgn,1076069;is:pleiades:152519
Mansa (Zambia);tgn,1095968;is:pleiades:152519
Mansa (Punjab, India);tgn,1140168;is:pleiades:152519
Antipolis (France);tgn,7012323;is:pleiades:157812
Bordighera (Italy);tgn,1043556;is:pleiades:157823
Boulouris (France);tgn,1032246;is:pleiades:157825
Bussana (Italy);tgn,7015673;is:pleiades:157828
Collobrieres (France);tgn,1032713;is:pleiades:157835
Mandelieu (France);tgn,1034224;is:pleiades:157882
Nice (Ohio, United States);tgn,2540829;is:pleiades:157894
Nica (Latvia);tgn,1057260;is:pleiades:157894
Nica (Russia);tgn,1127781;is:pleiades:157894
San Remo (Italy);tgn,7005354;is:pleiades:157924
San Remo (Victoria, Australia);tgn,1098135;is:pleiades:157924
Tolon (Greece);tgn,7017082;is:pleiades:157936
Tolo (Congo);tgn,1089519;is:pleiades:157936
